Don Henley,43082
Linda Ronstadt,42577
Paul Simon,42501
John Michael Montgomery,41958
Enrique Iglesias,41721
Bobby Brown,41560
Alanis Morissette,40366
Nicki Minaj,40318
Frank Sinatra,39998
Steve Winwood,39007
Victoria Beckham,38039
Mel B,0
Cyndi Lauper,37593
Lana Del Rey,37587
Snoop Dogg,37172
David Bowie,36684
Michael W. Smith,36310
Bette Midler,36271
Dr. Dre,36032
Jason Mraz,35893
Kelly Rowland,35751
Billy Ocean,35637
Ray Charles,35477
Trey Songz,35389
JC Chasez,35254
Lance Bass,0
Joey Fatone,0
Diana Ross,35172
Darius Rucker,35147
Trisha Yearwood,35132
Tracy Chapman,35110
John Legend,33945
Adam Duritz,33738
Brian McKnight,33141
Neil Young,32235
Debbie Gibson,32089
Busta Rhymes,32087
Peter Gabriel,32072
Chris Tomlin,32044
Pat Benatar,31659
Donna Summer,31564
Taylor Dayne,31462
Dionne Warwick,31455
Keyshia Cole,31232
Josh Turner,31016
Kendrick Lamar,30847
Wilson Phillips,30633
Kenny Loggins,30567
Colbie Caillat,30420
Weird Al Yankovic,30408
Dwight Yoakam,30268
Robert Palmer,30229
Jessica Simpson,30198
Stevie Nicks,29900
Rick Springfield,29651
Sean Paul,29490
Olivia Newton-John,29486
Nelly Furtado,29404
Will Smith,29335
Huey Lewis,29204
Gary Allan,28773
Marvin Gaye,28758
Tracy Lawrence,28694
Vanessa Williams,28490
Sheena Easton,28460
Jon Secada,28431
Connie Francis,27321
Joe Jonas,27287
Nick Jonas,0
Kevin Jonas,0
Mary Chapin Carpenter,27195
Annie Lennox,27048
Demi Lovato,26724
Billy Ray Cyrus,26683
Marc Anthony,26557
Sara Evans,26446
Hank Williams Jr.,26296
Tom Petty,26222
Billy Currington,25752
Jody Watley,25751
Willie Nelson,25669
Natalie Merchant,25392
Ricky Martin,25261
Tony Bennett,25163
Dolly Parton,25108
Freddie Jackson,25096
Patti LaBelle,25068
Jackson Browne,24919
Brenda Lee,24866
Gerald Levert,24563
Clay Walker,24275
Jeffrey Osborne,23953
Jo Dee Messina,23752
Robin Thicke,23717
Roy Orbison,23710
Sam Smith,23573
Howard Jones,23342
Alice Cooper,23261
Amy Winehouse,23023
Diana Krall,22964
Collin Raye,22948
Hilary Duff,22943
Erykah Badu,22646
Anne Murray,22636
