Josh Brolin,456
Brie Larson,98
Pom Klementieff,1
Karen Gillan,2
Elizabeth Olsen,349
Donald Glover,542
Adrianne Palicki,22
Tom Holland,29
Jacob Elordi,31010
Ryan Reynolds,219
Robert Downey Jr,214
Courtney Henggeler,5160
Tessa Thompson,240
Chris Hemsworth,226
Zoe Saldana,6
Yvonne Strahovski,14
Halston Sage,49
Evan Rachel Wood,340
Joey King,398
Chris Evans,93
Scarlett Johansson,35
Morena Baccarin,137
Chadwick Boseman,2128
Michael B Jordan,1665
Odette Annable,24
Letitia Wright,13322
Katja Herbers,1755
Benedict Cumberbatch,255
Tom Hardy,17
Alden Ehrenreich,1072
Sebastian Stan,381
Alexandra Daddario,12
Tom Hiddleston,260
Amanda Seyfried,617
Rebecca Ferguson,173
Emilia Clarke,46
Meghan Markle,167
Alexander Ludwig,42
Evangeline Lilly,395
Pauley Perrette,715
William Zabka,3358
Margot Robbie,27
Talulah Riley,1288
Chris Pratt,11
Rachel McAdams,121
Clayne Crawford,777
Parker Posey,1398
Naomi Scott,107
Bryce Dallas Howard,74
Olivia Munn,187
Jesse Plemons,1075
Zazie Beetz,3940
Danai Gurira,2586
Jennifer Lawrence,41
Rosario Dawson,48
Alba August,87178
Carrie Coon,63
Ralph Macchio,1503
Michael C Hall,1135
Riley Keough,809
Charlize Theron,72
Mary Mouser,2748
Cate Blanchett,138
Paul Bettany,1119
Dave Bautista,5
Taron Egerton,90
Lily James,205
Mina Sundwall,25219
Christina Hendricks,52
Shohreh Aghdashloo,100
Ana de Armas,8
Meg Foster,259
Gal Gadot,15
Blake Lively,51
Maggie Grace,849
Katherine Langford,9
Michelle Williams,579
Mackenzie Davis,73
Dwayne Johnson,82
Lupita Nyongo,2071
Bar Paly,2616
Olivia Cooke,840
Andy Serkis,1721
Keanu Reeves,143
Henry Cavill,171
Elisabeth Moss,32
Leonardo DiCaprio,83
Ella Purnell,1369
Emily Blunt,180
Brianna Hildebrand,814
Amber Heard,109
Dakota Fanning,300
Hannah John-Kamen,1309
Molly Parker,1098
Melissa McCarthy,470
Sylvester Stallone,94
Eline Powell,3635
Natalie Portman,85
Tanner Buchanan,5911
Shane Black,2242
Zach McGowan,155
Elizabeth Debicki,3
Cole Sprouse,56
Taylor Russell,14112
Hayley Atwell,136
Luke Hemsworth,2324
Tom Cruise,79
John Krasinski,530
Lee Pace,28
Ron Howard,932
Jessica Chastain,87
Gabrielle Union,2556
Adam Sandler,272
Thandie Newton,529
Sofia Boutella,50
Taika Waititi,1602
Monique Ganderton,5737
Angela Sarafyan,1343
Sam Humphrey,187612
Elisabeth Shue,678
Jerry OConnell,2341
Quentin Tarantino,197
Jason Momoa,119
Allison Scagliotti,2262
Anna Faris,147
Katheryn Winnick,38
Ross Marquand,6441
Travis Fimmel,69
Zac Efron,165
Jennifer Connelly,258
Melissa Gilbert,422
